name;text
agendamento;"agendar consulta"
agendamento;"fazer agendamento"
agendamento;"como agendo uma consulta?"
agendamento;"marcar médico"
agendamento;"agendamento de horário"
agendamento;"Queria confirmar meu horário"
cancelamento;"cancelar serviço"
cancelamento;"fazer cancelamento"
cancelamento;"desmarcar consulta"
consultar_confirmar_consulta_agendada;"A minha consulta agendada é quando?"
consultar_confirmar_consulta_agendada;"Quero confirmar uma consulta"
consultar_confirmar_consulta_agendada;"Como faço para confirmar uma consulta agendada?"
consultar_confirmar_consulta_agendada;"Minha consulta está agendada?"
consultar_confirmar_consulta_agendada;"Qual é o dia da minha consulta?"
consultas;consultas
consultas;"Ver consultas marcadas"
consultas;"Quero minhas consultas"
consultas;"Consultar pediatra"
consultas;"Gostaria saber se tem consulta com a psicologa"
convenio_plano;"Aceita convênio/plano?"
convenio_plano;"Quais convênios são aceitos?"
convenio_plano;"Quero saber sobre planos"
convenio_plano;"Gostaria de saber se aceita o cartão de todos?"
convenio_plano;"Eu queria detalhes sobre esse plano"
curriculo_cadastrar;"Como faço para cadastrar meu currículo?"
curriculo_cadastrar;"Eu quero enviar meu curriculo"
curriculo_cadastrar;"Posso mandar meu currículo para vocês?"
curriculo_cadastrar;"Vocês estão aceitando cv?"
curriculo_cadastrar;"Quero cadastrar meu curriculo"
emergencia_atendimento;"Vocês atendem emergência?"
endereco_clinica;"Poderia passar o endereço da clínica"
endereco_clinica;"Gostaria de saber sobre a clínica da cidade"
endereco_clinica;"Onde fica a clínica?"
endereco_clinica;"Moro na cidade e quero a localização da clínica"
epecialidades_valores;"Quais as especialidades e os seus valores?"
epecialidades_valores;"Qual o valor do exame"
epecialidades_valores;"Gostaria de saber o valor da consulta"
epecialidades_valores;"desejo saber valor da consulta"
formas_pagamento;"Quais formas de pagamento vocês aceitam?"
formas_pagamento;"Pagamento de consulta"
informacoes_clinica;"qual o prazo para ter um uma consulta de retorno?"
informacoes_clinica;"A clinica atende aos sábados?"
informacoes_clinica;"Qual é o horário de funcionamento da clinica?"
informacoes_clinica;"Poderia me passar mais informações sobre a clinica?"
odontologia;"O AmorSaúde tem dentista? Como eu marco?"
odontologia;"Quero marcar com um dentista"
odontologia;"Vocês trabalham com odontologia?"
odontologia;"Vocês cuidam da saúde da boca?"
odontologia;"Eu consigo marcar com odonto?"
procedimento_exame;"Preciso levar acompanhante comigo no exame?"
procedimento_exame;"Qual é o procedimento para os exames?"
procedimento_exame;"Na hora do exame, posso ir sozinho?"
procedimento_exame;"Como funciona o exame?"
procedimento_exame;"Quero mais informações sobre o exame"
reagendamento;"reagendar consulta"
reagendamento;"fazer reagendamento"
reagendamento;"como reagendo uma consulta?"
reagendamento;"remarcar médico"
reagendamento;"reagendamento de horário"
reagendamento;"alterar hora"
senha_esqueci;"Esqueci minha senha de acesso. Como posso recuperá-la?"
senha_esqueci;"Não lembro minha senha de acesso"
senha_esqueci;"Como faço para recuperar meu login de acesso?"
senha_esqueci;"Estou com problemas para acessar meu login"
senha_esqueci;"Não consigo acessar o portal"
telefone_unidade;"Qual o telefone da minha unidade?"
telefone_unidade;"Poderia me passar o contato da unidade?"
telefone_unidade;"Onde eu consigo o telefone da clinica"
telefone_unidade;"Quero ligar na unidade"
telefone_unidade;"Eu preciso do número da clínica"
